Numer próby;Skuteczność;Liczba warstw konwolucyjnych;Warstwa 1;Warstwa 2;Warstwa 3;Liczba jednostek gęstych;Współczynnik dropout;Współczynnik uczenia się
217;0.930;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
95;0.929;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
221;0.928;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
289;0.928;3;128, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
290;0.928;3;128, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
90;0.927;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
156;0.927;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
204;0.926;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
168;0.925;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
197;0.925;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
241;0.925;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
183;0.925;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
216;0.924;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
240;0.924;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
152;0.924;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
191;0.924;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
282;0.924;3;128, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
174;0.923;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
298;0.923;3;128, 2, 1;64, 3, 1;96, 2, 1;96;0.5;10^-3
160;0.923;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
129;0.923;3;128, 2, 1;64, 3, 1;96, 2, 1;96;0.5;10^-3
157;0.923;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
89;0.922;3;96, 2, 1;64, 3, 1;128, 3, 1;64;0.6;10^-4
205;0.922;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
117;0.922;3;128, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
230;0.922;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
112;0.922;3;128, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
92;0.922;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
153;0.922;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
260;0.922;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
278;0.922;3;96, 2, 1;64, 3, 1;96, 2, 1;192;0.5;10^-3
145;0.922;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
151;0.921;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
188;0.921;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
104;0.921;3;96, 2, 1;32, 3, 1;96, 2, 1;64;0.5;10^-3
202;0.921;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
294;0.921;3;128, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
249;0.921;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
229;0.921;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
131;0.920;3;128, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
203;0.920;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
69;0.920;3;64, 2, 1;64, 3, 1;128, 3, 1;64;0.6;10^-4
143;0.920;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
105;0.920;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
65;0.920;3;32, 2, 1;128, 3, 1;128, 3, 1;128;0.6;10^-4
281;0.920;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
255;0.920;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
94;0.920;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
159;0.920;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
166;0.920;3;96, 2, 1;64, 3, 1;96, 2, 1;64;0.5;10^-3
